id_player,player_name,nationality,field_position,position,weight_kg,height_cm,age,id_team,player_image,assists,corners_taken,offsides,dribbles,total_attempts,attempts_on_target,attempts_off_target,blocked,balls_recovered,tackles,tackles_won,tackles_lost,clearance_attempted,fouls_committed,fouls_suffered,yellow_cards,red_cards,passing_accuracy_percent,passes_attempted,passes_completed,crossing_accuracy_percent,crosses_attempted,crosses_completed,free_kick_taken,saves,goals_conceded,saves_on_penalty,clean_sheets,punches_made,goals,inside_area,outside_area,right_foot,left_foot,head,other,penalties_scored,distance_covered_kmph,top_speed,minutes_played,matches_appearance
250104066,Dominik Szoboszlai,Hungary,Midfielder,CENTRAL_MIDFIELDER,,,24,7889,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250104066.jpg,1,1,1,4,5,3,1,1,5,2,1,1,1,2,3,0,0,85.0,148,120,0.0,1,0,0,0,0,0,3,0,1,1,0,1,0,0,0,0,36.85,33.35,282,4
250112969,Artem Bondarenko,Ukraine,Midfielder,CENTRAL_MIDFIELDER,,,24,52707,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250112969.jpg,0,1,1,4,4,0,2,2,11,3,1,2,1,4,6,0,0,91.0,149,136,0.0,1,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,40.07,32.37,282,4
250113993,Matěj Ryneš,Czechia,Defender,CENTRAL_MIDFIELDER,,,23,50033,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250113993.jpg,0,0,0,1,2,0,1,1,16,5,2,3,9,3,1,1,0,69.75,87,58,50.0,4,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,33.39,33.37,282,4
250121965,Éder Militão,Brazil,Defender,FULL_BACK,,,26,50051,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250121965.jpg,0,0,0,1,4,0,4,0,10,3,1,2,7,3,2,2,0,91.75,183,168,0.0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,29.84,34.24,282,4
250080553,Serhou Guirassy,Rep of Guinea,Forward,STRIKER,,,28,52758,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250080553.jpg,2,0,1,2,10,7,2,1,4,0,0,0,5,0,6,0,0,85.0,74,64,0.0,0,0,0,0,0,0,2,0,3,3,0,3,0,0,0,2,32.13,32.12,281,4
250169705,Reo Hatate,Japan,Defender,,,,26,50050,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250169705.jpg,1,0,0,6,9,2,6,1,9,8,2,6,4,3,4,1,0,80.75,141,115,25.0,4,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,36.56,30.55,280,4
250172668,Julián Alvarez,Argentina,Forward,UNKNOWN,,,24,50124,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250172668.jpg,0,0,0,1,3,1,2,0,10,1,0,1,1,1,3,0,0,84.0,82,68,33.34,3,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,34.09,34.29,280,4
250032786,David López,Spain,Defender,CENTRE_BACK,,185.0,35,2602798,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250032786.jpg,0,0,0,0,2,1,0,1,17,4,2,2,5,3,3,1,0,67.5,175,158,0.0,0,0,4,0,0,0,1,0,1,1,0,0,1,0,0,0,33.72,30.57,278,4
250023009,Leandro Trossard,Belgium,Midfielder,WINGER,61.0,171.0,29,52280,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250023009.jpg,1,3,0,5,7,2,5,0,5,0,0,0,2,2,3,0,0,75.25,109,84,60.0,5,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,36.47,32.84,276,4
250027780,Massadio Haïdara,Mali,Defender,UNKNOWN,,,31,2601306,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250027780.jpg,0,0,0,4,1,0,0,1,15,4,3,1,11,2,8,1,0,86.75,127,106,28.58,7,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,33.62,32.3,276,4
